Data;CDI;SELIC
13/07/2018;6.39;6.4
16/07/2018;6.39;6.4
17/07/2018;6.39;6.4
18/07/2018;6.39;6.4
19/07/2018;6.39;6.4
20/07/2018;6.39;6.4
23/07/2018;6.39;6.4
24/07/2018;6.39;6.4
25/07/2018;6.39;6.4
26/07/2018;6.39;6.4
27/07/2018;6.39;6.4
30/07/2018;6.39;6.4
31/07/2018;6.39;6.4
01/08/2018;6.39;6.4
02/08/2018;6.39;6.4
03/08/2018;6.39;6.4
06/08/2018;6.39;6.4
07/08/2018;6.39;6.4
08/08/2018;6.39;6.4
09/08/2018;6.39;6.4
10/08/2018;6.39;6.4
13/08/2018;6.39;6.4
14/08/2018;6.39;6.4
15/08/2018;6.39;6.4
16/08/2018;6.39;6.4
17/08/2018;6.39;6.4
20/08/2018;6.39;6.4
21/08/2018;6.39;6.4
22/08/2018;6.39;6.4
23/08/2018;6.39;6.4
24/08/2018;6.39;6.4
27/08/2018;6.39;6.4
28/08/2018;6.39;6.4
29/08/2018;6.39;6.4
30/08/2018;6.39;6.4
31/08/2018;6.39;6.4
03/09/2018;6.39;6.4
04/09/2018;6.39;6.4
05/09/2018;6.39;6.4
06/09/2018;6.39;6.4
10/09/2018;6.39;6.4
11/09/2018;6.39;6.4
12/09/2018;6.39;6.4
13/09/2018;6.39;6.4
14/09/2018;6.39;6.4
17/09/2018;6.39;6.4
18/09/2018;6.39;6.4
19/09/2018;6.39;6.4
20/09/2018;6.39;6.4
21/09/2018;6.39;6.4
24/09/2018;6.39;6.4
25/09/2018;6.39;6.4
26/09/2018;6.39;6.4
27/09/2018;6.39;6.4
28/09/2018;6.39;6.4
01/10/2018;6.4;6.4
02/10/2018;6.4;6.4
03/10/2018;6.4;6.4
04/10/2018;6.4;6.4
05/10/2018;6.4;6.4
08/10/2018;6.4;6.4
09/10/2018;6.4;6.4
10/10/2018;6.4;6.4
11/10/2018;6.4;6.4
15/10/2018;6.4;6.4
16/10/2018;6.4;6.4
17/10/2018;6.4;6.4
18/10/2018;6.4;6.4
19/10/2018;6.4;6.4
22/10/2018;6.4;6.4
23/10/2018;6.4;6.4
24/10/2018;6.4;6.4
25/10/2018;6.4;6.4
26/10/2018;6.4;6.4
29/10/2018;6.4;6.4
30/10/2018;6.4;6.4
31/10/2018;6.4;6.4
01/11/2018;6.4;6.4
05/11/2018;6.4;6.4
06/11/2018;6.4;6.4
07/11/2018;6.4;6.4
08/11/2018;6.4;6.4
09/11/2018;6.4;6.4
12/11/2018;6.4;6.4
13/11/2018;6.4;6.4
14/11/2018;6.4;6.4
16/11/2018;6.4;6.4
19/11/2018;6.4;6.4
20/11/2018;6.4;6.4
21/11/2018;6.4;6.4
