Data;Last;Open;High;Close
20151211;45262.72;45629.61;45981.46;45068.43
20151210;45630.71;46084.06;46322.67;45351.06
20151209;46108.03;44444.27;46438.23;44444.27
20151208;44443.26;45223.32;45233.02;44232
20151207;45222.7;45361.25;46156.94;45217.39
20151204;45360.76;46384.75;46384.75;45022.7
20151203;46393.26;44923.47;47142.43;44923.47
20151202;44914.53;45046.39;45338.44;44579.3
20151201;45046.75;45121.1;45482.2;44775.35
20151130;45120.36;45871.33;45930.7;45105.89
20151127;45872.92;47144.44;47144.44;45811.69
20151126;47145.63;46867.13;47199.04;46867.13
20151125;46866.63;48269.74;48269.74;46742.27
20151124;48284.19;48142.66;48320.34;47441.65
20151123;48150.27;48138.04;48745.08;47987.58
20151122;48138.89;48138.89;48138.89;48138.89
20151119;48138.89;47437.26;48226.83;47437.26
20151118;47435.58;47241.44;47950.71;47241.44
20151117;47247.8;46847.97;47697.6;46847.97
20151116;46846.87;46518.63;46905.35;46398.64
20151113;46517.04;46883.71;46883.71;46311.23
20151112;46883.58;47065.01;47459.94;46695.8
20151111;47065.01;46207.25;47231.25;46207.25
20151110;46206.57;46195.05;46206.57;45396.88
20151109;46194.92;46914.8;47000.5;46057.43
20151106;46918.52;48046.47;48046.47;46397.11
20151105;48046.76;47711.77;48061.34;47430.37
20151104;47710.1;48058.83;49054.38;47440.69
20151103;48053.67;45868.81;48053.67;45866.3
20151030;45868.82;45628.35;45975.26;45400.69
20151029;45628.35;46740.16;46740.16;45628.35
20151028;46740.85;47037.92;47441.5;46388.14
20151027;47042.95;47204.78;47338.43;46742.45
20151026;47209.32;47606.63;47874.87;47104.57
20151023;47596.59;47774.3;48837.01;47502.27
20151022;47772.14;47026.71;47909;47026.71
20151021;47025.87;47076.55;47273.73;46653.85
20151020;47076.55;47446.94;47727.54;46622.87
20151019;47447.31;47242.47;47536.25;46916.77
20151018;47236.11;47236.11;47236.11;47236.11
20151016;47236.1;47161.02;47727.44;46516.85
20151015;47161.15;46730.26;47187.58;46321.48
20151014;46710.44;47349.43;47714.78;46700.73
20151013;47362.64;49339.14;49339.14;47134.9
20151012;49338.41;49338.41;49338.41;49338.41
20151009;49338.41;49105.12;49752.04;48698.44
20151008;49106.56;48915.37;49247.28;48657.64
20151007;48914.32;47735.32;49290.26;47714.69
20151006;47735.11;47598.49;48091.62;47388.54
20151005;47598.07;47033.28;48081.44;47018.61
20151003;47033.46;47033.46;47033.46;47033.46
20151002;47033.46;45313.39;47033.46;44973.4
20151001;45313.27;45064.26;45547.33;44788.93
20150930;45059.34;44131.76;45294.37;44131.76
20150929;44131.82;43956.46;44530.71;43956.04
20150928;43956.63;44831.62;44831.62;43766.61
20150927;44831.46;44831.46;44831.46;44831.46
20150925;44831.46;45300.34;45968.66;44697.01
20150924;45291.97;45339.7;45571.86;44182.73
20150923;45340.11;46262.51;46480.08;45340.11
20150922;46264.61;46585.35;46585.35;45276.23
20150921;46590.2;47263.27;47390.54;46424.6
20150918;47264.08;48549.5;48549.5;46927.83
20150917;48551.08;48552.71;49395.62;48081.62
20150916;48553.1;47364.07;48680.97;47364.07
20150915;47364.07;47281.03;47688.88;46745.85
20150914;47281.52;46399.98;47385.76;46217.71
20150911;46400.51;46508.91;46558.06;46175.88
20150910;46503.99;46655.83;46819.09;45592.08
20150909;46657.1;46762.07;47839.78;46614.14
20150908;46762.07;46500.9;47243.23;46496.79
20150904;46497.72;47365.51;47377.23;46320.43
20150903;47365.87;46467.97;47532.37;46279.41
20150902;46463.96;45484.22;46473.75;45445.07
20150901;45477.06;46625.08;46625.08;45278.27
20150831;46625.52;47151.43;47151.43;45569.94
20150828;47153.87;47696.83;47872.39;46847.37
20150827;47715.27;46038.08;47996.65;46038.08
20150826;46038.08;44545.67;46039.43;44540.18
20150825;44544.85;44337.54;45587.89;44337.54
20150824;44336.47;45714.92;45714.92;42749.23
20150821;45719.64;46649.35;46649.35;45676.76
20150820;46649.23;46587.51;46780.81;46029.56
20150819;46588.39;47450.58;47450.58;45977.38
20150818;47450.58;47220.49;48084.31;46675.92
20150817;47217.43;47508.83;47787.95;47217.43
20150814;47508.41;48010.09;48186.03;47508.41
20150813;48009.57;48389.64;48605.89;47721.75
20150812;48388.05;49063.87;49063.87;48027.56
20150811;49072.34;49339.86;49339.86;48305.66
20150810;49353;48578.05;49511.63;48578.05
20150807;48577.32;50013.41;50013.41;48511.68
20150806;50011.32;50279.64;50534.17;49623.61
20150805;50287.27;50066.85;50852.53;50066.85
20150804;50058.49;50137.62;50574.01;49826.74
20150803;50138.05;50866.92;50866.92;50053.82
20150731;50864.77;49897.4;50894.51;49892.29
20150730;49897.4;50245.14;50644.62;49612.04
20150729;50245.15;49601.91;50332.57;49421.69
20150728;49601.6;48740.26;49871.17;48740.26
20150727;48735.54;49245.85;49298.39;48639.95
20150725;49245.85;49245.85;49245.85;49245.85
20150724;49245.84;49804.29;49831.46;48624.14
20150723;49806.62;50915.78;51063.47;49668.22
20150722;50915.78;51473.92;51473.92;50592.46
20150721;51474.28;51603.32;51997.68;51244.04
20150720;51600.07;52341.41;52423.68;51525.45
20150718;52341.8;52341.8;52341.8;52341.8
20150717;52341.8;53069.75;53310.2;52221.13
20150716;53069.75;52902.28;53416.98;52713.87
20150715;52902.28;53239.17;53333.81;52790.45
20150714;53239.17;53119.47;53415.87;52652.75
20150713;53119.47;52590.72;53163.57;52590.72
20150710;52590.72;51782.26;52785.52;51782.26
20150708;51781.74;52343.39;52467.52;51574.12
20150707;52343.71;52148.89;52387.81;51129.78
20150706;52149.37;52510.5;52678.52;51682.82
20150703;52519.4;53105.61;53105.61;52370.31
20150702;53106.18;52757.72;53356.61;52757.72
20150701;52757.53;53080.88;53456.4;52603.37
20150630;53080.88;53014.21;53345.15;52812.5
20150629;53014.21;54012.65;54012.65;52647.35
20150626;54016.97;53181.02;54076.05;53150.52
20150625;53175.66;53840.4;53840.4;52879.4
20150624;53842.53;53772.43;54236.27;53628.09
20150623;53772.43;53864.78;54360.79;53772.43
20150622;53863.67;53750.07;54341.54;53655.4
20150619;53749.41;54236.08;54236.08;53479.42
20150618;54238.59;53251.15;54351.87;53213.64
20150617;53248.54;53697.73;53755.1;52965.07
20150616;53702.15;53143.74;53968.99;53106.91
20150615;53137.53;53338.14;53338.14;52548.19
20150612;53347.53;53689.17;53689.17;53032.88
20150611;53688.51;53876.44;54270.8;53443.53
20150610;53876.44;52817.45;54102.18;52817.45
20150609;52815.99;52809.63;53292.41;52687.88
20150608;52809.63;52974.72;53324.56;52809.63
20150605;52973.37;53517.6;53517.6;52808.05
20150603;53522.9;54253.74;54253.74;53462.34
20150602;54236.43;53035.02;54236.43;53035.02
20150601;53031.31;52752.9;53232.92;52665.81
20150530;52760.47;52760.47;52760.47;52760.47
20150529;52760.47;53974.25;53974.25;52760.47
20150528;53976.27;54230.4;54230.4;53363.07
20150527;54236.25;53630.62;54292.52;53135.88
20150526;53629.78;54609.25;54609.25;53548.19
20150525;54609.25;54377.96;54867.85;53971.6
20150522;54377.29;55112.05;55223.01;54037.59
20150521;55112.05;54900.29;55112.05;54526.08
20150520;54901.02;55497.12;55644.97;54819.8
20150519;55498.82;56204.23;56211.95;55027.09
20150518;56204.23;57249.93;57605.86;55926.47
20150515;57248.63;56655.82;57287.7;56422.19
20150514;56656.57;56376.28;56920.94;56104.78
20150513;56372.04;56790.23;56899.73;56199.12
